Tue Jan 20 00:49:24 ART 2026 | Hilo: Worker-2 | T0 disparada | Estado plazas: P0:2 P1:1 P2:0 P3:0 P4:0 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:24 ART 2026 | Hilo: Worker-0 | T0 disparada | Estado plazas: P0:1 P1:2 P2:0 P3:0 P4:0 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:24 ART 2026 | Hilo: Worker-1 | T0 disparada | Estado plazas: P0:0 P1:3 P2:0 P3:0 P4:0 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:24 ART 2026 | Hilo: Worker-1 | T1 disparada | Estado plazas: P0:0 P1:2 P2:1 P3:1 P4:0 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:24 ART 2026 | Hilo: Worker-0 | T1 disparada | Estado plazas: P0:0 P1:1 P2:2 P3:2 P4:0 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:24 ART 2026 | Hilo: Worker-2 | T5 disparada | Estado plazas: P0:0 P1:1 P2:2 P3:1 P4:0 P5:0 P6:1 P7:0 P8:0 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:24 ART 2026 | Hilo: Worker-0 | T7 disparada | Estado plazas: P0:0 P1:1 P2:2 P3:0 P4:0 P5:0 P6:1 P7:0 P8:1 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:24 ART 2026 | Hilo: Worker-1 | T1 disparada | Estado plazas: P0:0 P1:0 P2:3 P3:1 P4:0 P5:0 P6:1 P7:0 P8:1 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:24 ART 2026 | Hilo: Worker-1 | T5 disparada | Estado plazas: P0:0 P1:0 P2:3 P3:0 P4:0 P5:0 P6:2 P7:0 P8:1 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:24 ART 2026 | Hilo: Worker-1 | T6 disparada | Estado plazas: P0:0 P1:0 P2:3 P3:0 P4:0 P5:0 P6:1 P7:0 P8:1 P9:0 P10:0 P11:1 
Tue Jan 20 00:49:24 ART 2026 | Hilo: Worker-1 | T11 disparada | Estado plazas: P0:1 P1:0 P2:3 P3:0 P4:0 P5:0 P6:1 P7:0 P8:1 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:24 ART 2026 | Hilo: Worker-2 | T6 disparada | Estado plazas: P0:1 P1:0 P2:3 P3:0 P4:0 P5:0 P6:0 P7:0 P8:1 P9:0 P10:0 P11:1 
Tue Jan 20 00:49:24 ART 2026 | Hilo: Worker-1 | T0 disparada | Estado plazas: P0:0 P1:1 P2:3 P3:0 P4:0 P5:0 P6:0 P7:0 P8:1 P9:0 P10:0 P11:1 
Tue Jan 20 00:49:24 ART 2026 | Hilo: Worker-0 | T11 disparada | Estado plazas: P0:1 P1:1 P2:3 P3:0 P4:0 P5:0 P6:0 P7:0 P8:1 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:24 ART 2026 | Hilo: Worker-0 | T1 disparada | Estado plazas: P0:1 P1:0 P2:4 P3:1 P4:0 P5:0 P6:0 P7:0 P8:1 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:24 ART 2026 | Hilo: Worker-1 | T8 disparada | Estado plazas: P0:1 P1:0 P2:4 P3:1 P4:0 P5:0 P6:0 P7:0 P8:0 P9:1 P10:0 P11:0 
Tue Jan 20 00:49:24 ART 2026 | Hilo: Worker-0 | T7 disparada | Estado plazas: P0:1 P1:0 P2:4 P3:0 P4:0 P5:0 P6:0 P7:0 P8:1 P9:1 P10:0 P11:0 
Tue Jan 20 00:49:24 ART 2026 | Hilo: Worker-2 | T0 disparada | Estado plazas: P0:0 P1:1 P2:4 P3:0 P4:0 P5:0 P6:0 P7:0 P8:1 P9:1 P10:0 P11:0 
Tue Jan 20 00:49:24 ART 2026 | Hilo: Worker-0 | T9 disparada | Estado plazas: P0:0 P1:1 P2:4 P3:0 P4:0 P5:0 P6:0 P7:0 P8:1 P9:0 P10:1 P11:0 
Tue Jan 20 00:49:24 ART 2026 | Hilo: Worker-1 | T8 disparada | Estado plazas: P0:0 P1:1 P2:4 P3:0 P4:0 P5:0 P6:0 P7:0 P8:0 P9:1 P10:1 P11:0 
Tue Jan 20 00:49:24 ART 2026 | Hilo: Worker-2 | T9 disparada | Estado plazas: P0:0 P1:1 P2:4 P3:0 P4:0 P5:0 P6:0 P7:0 P8:0 P9:0 P10:2 P11:0 
Tue Jan 20 00:49:24 ART 2026 | Hilo: Worker-1 | T10 disparada | Estado plazas: P0:0 P1:1 P2:4 P3:0 P4:0 P5:0 P6:0 P7:0 P8:0 P9:0 P10:1 P11:1 
Tue Jan 20 00:49:24 ART 2026 | Hilo: Worker-2 | T1 disparada | Estado plazas: P0:0 P1:0 P2:5 P3:1 P4:0 P5:0 P6:0 P7:0 P8:0 P9:0 P10:1 P11:1 
Tue Jan 20 00:49:24 ART 2026 | Hilo: Worker-1 | T10 disparada | Estado plazas: P0:0 P1:0 P2:5 P3:1 P4:0 P5:0 P6:0 P7:0 P8:0 P9:0 P10:0 P11:2 
Tue Jan 20 00:49:24 ART 2026 | Hilo: Worker-2 | T7 disparada | Estado plazas: P0:0 P1:0 P2:5 P3:0 P4:0 P5:0 P6:0 P7:0 P8:1 P9:0 P10:0 P11:2 
Tue Jan 20 00:49:24 ART 2026 | Hilo: Worker-1 | T11 disparada | Estado plazas: P0:1 P1:0 P2:5 P3:0 P4:0 P5:0 P6:0 P7:0 P8:1 P9:0 P10:0 P11:1 
Tue Jan 20 00:49:24 ART 2026 | Hilo: Worker-0 | T11 disparada | Estado plazas: P0:2 P1:0 P2:5 P3:0 P4:0 P5:0 P6:0 P7:0 P8:1 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:24 ART 2026 | Hilo: Worker-0 | T0 disparada | Estado plazas: P0:1 P1:1 P2:5 P3:0 P4:0 P5:0 P6:0 P7:0 P8:1 P9:0 P10:0 P11:0 
Tue Jan 20 00:49:24 ART 2026 | Hilo: Worker-2 | T8 disparada | Estado plazas: P0:1 P1:1 P2:5 P3:0 P4:0 P5:0 P6:0 P7:0 P8:0 P9:1 P10:0 P11:0 
Tue Jan 20 00:49:24 ART 2026 | Hilo: Worker-2 | T1 disparada | Estado plazas: P0:1 P1:0 P2:6 P3:1 P4:0 P5:0 P6:0 P7:0 P8:0 P9:1 P10:0 P11:0 
Tue Jan 20 00:49:24 ART 2026 | Hilo: Worker-2 | T9 disparada | Estado plazas: P0:1 P1:0 P2:6 P3:1 P4:0 P5:0 P6:0 P7:0 P8:0 P9:0 P10:1 P11:0 
